lang,field,filter,filter_value,mean,pstdev,number of packages
ff,description,,,0,0.0,1416
ff,package stats,,,0,0.0,1416
ff,name,type,desktop,0,0.0,1050
ff,summary,type,desktop,0.1,3.08,1050
ff,description,type,desktop,0,0.0,1050
ff,package stats,type,desktop,0,0.0,1050
fi,name,,,10.66,30.87,1416
fi,summary,,,22.32,41.64,1416
fi,description,,,7.2,25.85,1416
fi,package stats,,,3.67,18.81,1416
fi,name,type,desktop,13.05,33.68,1050
fi,summary,type,desktop,29.14,45.44,1050
fi,description,type,desktop,9.71,29.62,1050
fi,package stats,type,desktop,4.95,21.7,1050
fi_FI,name,,,0,0.0,1416
fi_FI,summary,,,0.07,2.66,1416
fi_FI,description,,,0,0.0,1416
fi_FI,package stats,,,0.07,2.66,1416
fi_FI,name,type,desktop,0,0.0,1050
fi_FI,summary,type,desktop,0.1,3.08,1050
fi_FI,description,type,desktop,0,0.0,1050
fi_FI,package stats,type,desktop,0.1,3.08,1050
fil,name,,,0,0.0,1416
fil,summary,,,0.07,2.66,1416
fil,description,,,0,0.0,1416
fil,package stats,,,0,0.0,1416
fil,name,type,desktop,0,0.0,1050
fil,summary,type,desktop,0.1,3.08,1050
fil,description,type,desktop,0,0.0,1050
fil,package stats,type,desktop,0,0.0,1050
